strategy,feature,importance
smote,receiver_tx_count_7d,0.03695376838246981
smote,sender_cross_bank_ratio_30d,0.02993810425202052
smote,sender_unique_counterparties_30d,0.02477416644493739
smote,self_transfer_flag,0.023209304238359135
smote,sender_unique_counterparties_7d,0.020933859050273895
smote,day_of_week,0.0188928940333426
smote,fan_in_score,0.012846567357579866
smote,receiver_unique_counterparties_7d,0.009821581343809763
smote,sender_avg_amount_30d,0.008927512293060621
smote,amount_received,0.008922363786647717
smote,sender_tx_count_30d,0.008229720251013836
smote,payment_currency,0.007835959938044349
smote,receiver_avg_amount_30d,0.006819164380431175
smote,receiver_tx_count_30d,0.006055598457654317
smote,fan_out_score,0.005995245184749365
smote,amount_paid,0.005911270466943582
smote,hour,0.004840692350020011
smote,sender_avg_amount_7d,0.004154554413010676
smote,currency_mismatch,0.0033094552248561135
smote,receiver_avg_amount_7d,0.002088472906810542
smote,amount_ratio,9.851137413837326e-05
