run_id,model,strategy,target_prevalence,achieved_train_prevalence,train_rows_after_sampling,train_positives_after_sampling,n_synthetic_samples,val_rows,val_positives,test_rows,test_positives,train_time_sec,created_at,pr_auc_val,roc_auc_val,precision_val,recall_val,f1_val,weighted_accuracy_val,tp_val,fp_val,tn_val,fn_val,pr_auc_test,roc_auc_test,precision_test,recall_test,f1_test,weighted_accuracy_test,tp_test,fp_test,tn_test,fn_test,optimal_threshold,threshold_criterion,precision_val_thresh,recall_val_thresh,f1_val_thresh,weighted_accuracy_val_thresh,tp_val_thresh,fp_val_thresh,tn_val_thresh,fn_val_thresh,precision_test_thresh,recall_test_thresh,f1_test_thresh,weighted_accuracy_test_thresh,tp_test_thresh,fp_test_thresh,tn_test_thresh,fn_test_thresh
xgboost__true_cost_weighting__p001__20260403_085917,xgboost,true_cost_weighting,0.001,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,49.08,2026-04-03T09:06:18,0.011596852667800823,0.8722787143500901,0.005423337324425902,0.7620272403109838,0.010770024533283101,0.8357239383977979,13036.0,2390650.0,24002227.0,4071.0,0.016078023684125493,0.9007749061292396,0.006992773753443943,0.8094077009041959,0.013865756090089996,0.8618338533039,15934.0,2262704.0,24127594.0,3752.0,0.9619680047035217,f1,0.0300494484594903,0.041561933711346234,0.03488029827315542,0.5203461904574964,711.0,22950.0,26369927.0,16396.0,0.039733888949811745,0.05521690541501575,0.04621303913440895,0.5271107319163297,1087.0,26270.0,26364028.0,18599.0
xgboost__true_cost_weighting__p005__20260403_085207,xgboost,true_cost_weighting,0.005,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,48.98,2026-04-03T08:59:08,0.011596852667800823,0.8722787143500901,0.005423337324425902,0.7620272403109838,0.010770024533283101,0.8357239383977979,13036.0,2390650.0,24002227.0,4071.0,0.016078023684125493,0.9007749061292396,0.006992773753443943,0.8094077009041959,0.013865756090089996,0.8618338533039,15934.0,2262704.0,24127594.0,3752.0,0.9619680047035217,f1,0.0300494484594903,0.041561933711346234,0.03488029827315542,0.5203461904574964,711.0,22950.0,26369927.0,16396.0,0.039733888949811745,0.05521690541501575,0.04621303913440895,0.5271107319163297,1087.0,26270.0,26364028.0,18599.0
xgboost__true_cost_weighting__p010__20260403_084456,xgboost,true_cost_weighting,0.01,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,51.85,2026-04-03T08:51:58,0.011596852667800823,0.8722787143500901,0.005423337324425902,0.7620272403109838,0.010770024533283101,0.8357239383977979,13036.0,2390650.0,24002227.0,4071.0,0.016078023684125493,0.9007749061292396,0.006992773753443943,0.8094077009041959,0.013865756090089996,0.8618338533039,15934.0,2262704.0,24127594.0,3752.0,0.9619680047035217,f1,0.0300494484594903,0.041561933711346234,0.03488029827315542,0.5203461904574964,711.0,22950.0,26369927.0,16396.0,0.039733888949811745,0.05521690541501575,0.04621303913440895,0.5271107319163297,1087.0,26270.0,26364028.0,18599.0
random_forest__true_cost_weighting__p001__20260403_093536,random_forest,true_cost_weighting,0.001,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,466.43,2026-04-03T09:50:04,0.008586735890942518,0.8359779030159739,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.012762865763208637,0.8652333465829768,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.11759252688084526,f1,0.017649748513946045,0.06769158823873268,0.027999081204589143,0.5326247828594118,1158.0,64452.0,26328425.0,15949.0,0.025300803728539496,0.08107284364523011,0.038566095182862734,0.53937150507935,1596.0,61485.0,26328813.0,18090.0
random_forest__true_cost_weighting__p005__20260403_092057,random_forest,true_cost_weighting,0.005,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,458.72,2026-04-03T09:35:26,0.008586734979667124,0.8359779026494204,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.01276286566014029,0.8652333465079072,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.11759252688084526,f1,0.017649748513946045,0.06769158823873268,0.027999081204589143,0.5326247828594118,1158.0,64452.0,26328425.0,15949.0,0.025300803728539496,0.08107284364523011,0.038566095182862734,0.53937150507935,1596.0,61485.0,26328813.0,18090.0
random_forest__true_cost_weighting__p010__20260403_090628,random_forest,true_cost_weighting,0.01,0.00051775,123246589,63811,0,26409984,17107,26409984,19686,467.95,2026-04-03T09:20:47,0.00858673550749622,0.8359779031942672,0.0,0.0,0.0,0.5000000000000164,0.0,0.0,26392877.0,17107.0,0.012762860083258342,0.8652333460286182,0.0,0.0,0.0,0.500000000000002,0.0,0.0,26390298.0,19686.0,0.11759252688084526,f1,0.017649748513946045,0.06769158823873268,0.027999081204589143,0.5326247828594118,1158.0,64452.0,26328425.0,15949.0,0.025300803728539496,0.08107284364523011,0.038566095182862734,0.53937150507935,1596.0,61485.0,26328813.0,18090.0
