run_id,model,strategy,target_prevalence,achieved_train_prevalence,train_rows_after_sampling,train_positives_after_sampling,train_negatives_after_sampling,n_synthetic_samples,val_rows,val_positives,test_rows,test_positives,train_time_sec,total_time_sec,created_at,n_hard_planned,n_hard_cap,n_hard_actual,n_temporal_actual,n_global_actual,pr_auc_test,roc_auc_test,precision_test_thresh,recall_test_thresh,f1_test_thresh,f2_test_thresh,weighted_accuracy_test_thresh,tp_test_thresh,fp_test_thresh,tn_test_thresh,fn_test_thresh,precision_val_thresh,recall_val_thresh,f1_val_thresh,f2_val_thresh,weighted_accuracy_val_thresh,tp_val_thresh,fp_val_thresh,tn_val_thresh,fn_val_thresh,optimal_threshold,threshold_criterion,baseline_score_cache_sha256
xgboost__pai_hnu__p001__20260501_131106,xgboost,pai_hnu,0.001,0.001,63811000,63811,63747189,0,26409984,17107,26409984,19686,65.69,365.16,2026-05-01T13:17:11,31873594,1276220,1276220,31235484,31235485,0.10799097207020303,0.9682888660439611,0.09260484987063,0.23453215483084425,0.13278115698201112,0.17950871299601093,0.6164089442371625,4617.0,45240.0,26345058.0,15069.0,0.08853195921499836,0.09440579879581458,0.09137457919601687,0.09316949348101997,0.5468879091071699,1615.0,16627.0,26376250.0,15492.0,0.0407308004796505,f1,08f970a063dadcb37fe6e529d2bba74d94ef2b5e00756fe3e69d4bbefb586bd4
xgboost__pai_hnu__p005__20260501_130210,xgboost,pai_hnu,0.005,0.005,12762200,63811,12698389,0,26409984,17107,26409984,19686,13.67,181.87,2026-05-01T13:05:12,6349194,1276220,1276220,5711084,5711085,0.10497862208501846,0.9686510815679084,0.1133846609416642,0.19450370821903892,0.14325800658485482,0.170156602733882,0.5966845812428044,3829.0,29941.0,26360357.0,15857.0,0.133764832793959,0.06523645291401181,0.08770137524557957,0.07268369566633234,0.532481314516727,1116.0,7227.0,26385650.0,15991.0,0.05684491619467735,f1,08f970a063dadcb37fe6e529d2bba74d94ef2b5e00756fe3e69d4bbefb586bd4
xgboost__pai_hnu__p010__20260501_125134,xgboost,pai_hnu,0.01,0.01,6381100,63811,6317289,0,26409984,17107,26409984,19686,7.05,162.81,2026-05-01T12:54:17,3158644,1276220,1276220,2520534,2520535,0.08927117748544039,0.9420065852368202,0.10785994589857889,0.1438077821802296,0.1232664968541136,0.13482107990208683,0.5714602432010343,2831.0,23416.0,26366882.0,16855.0,0.05261602128288501,0.05202548664289472,0.052319087649168185,0.052142530728940865,0.5257091576229422,890.0,16025.0,26376852.0,16217.0,0.08014332503080368,f1,08f970a063dadcb37fe6e529d2bba74d94ef2b5e00756fe3e69d4bbefb586bd4
