run_id,model,strategy,target_prevalence,achieved_train_prevalence,train_rows_after_sampling,train_positives_after_sampling,n_synthetic_samples,val_rows,val_positives,test_rows,test_positives,train_time_sec,created_at,pr_auc_val,roc_auc_val,precision_val,recall_val,f1_val,weighted_accuracy_val,tp_val,fp_val,tn_val,fn_val,pr_auc_test,roc_auc_test,precision_test,recall_test,f1_test,weighted_accuracy_test,tp_test,fp_test,tn_test,fn_test,optimal_threshold,threshold_criterion,precision_val_thresh,recall_val_thresh,f1_val_thresh,weighted_accuracy_val_thresh,tp_val_thresh,fp_val_thresh,tn_val_thresh,fn_val_thresh,precision_test_thresh,recall_test_thresh,f1_test_thresh,weighted_accuracy_test_thresh,tp_test_thresh,fp_test_thresh,tn_test_thresh,fn_test_thresh
xgboost__smote_class_weighting__p001__20260408_060420,xgboost,smote_class_weighting,0.001,0.001,123306084,123306,59495,26409984,17107,26409984,19686,124.77,2026-04-08T06:11:27,0.030225135147263167,0.9663698516481345,0.00429723284326948,0.9731688782369791,0.008556681849534389,0.9135065211635798,16648.0,3857473.0,22535404.0,459.0,0.049977918845921405,0.9724633520817607,0.005046632094528922,0.9798333841308544,0.010041545207906942,0.9178662741429016,19289.0,3802864.0,22587434.0,397.0,0.9770620465278625,f1,0.059124621330826285,0.09925761384228678,0.07410640247894208,0.5491169074416122,1698.0,27021.0,26365856.0,15409.0,0.06794429292075982,0.2859900436858681,0.10980223895151539,0.6415317568203095,5630.0,77232.0,26313066.0,14056.0
xgboost__smote_class_weighting__p005__20260408_061130,xgboost,smote_class_weighting,0.005,0.00499999,123801786,619008,555197,26409984,17107,26409984,19686,124.68,2026-04-08T06:19:12,0.029568834038863265,0.964756752066838,0.004341549961156487,0.9669725843222072,0.008644288470075383,0.9116180755964594,16542.0,3793618.0,22599259.0,565.0,0.045045862490341884,0.9714011292645355,0.005075513904358994,0.977039520471401,0.010098567881944309,0.917085686243812,19234.0,3770333.0,22619965.0,452.0,0.9829217195510864,f1,0.052466191571741205,0.10931197755304846,0.07090181804394396,0.5540161949412545,1870.0,33772.0,26359105.0,15237.0,0.05536688184574483,0.30889972569338614,0.0939027309156327,0.6524841783364211,6081.0,103750.0,26286548.0,13605.0
xgboost__smote_class_weighting__p010__20260408_061915,xgboost,smote_class_weighting,0.01,0.01,124427048,1244270,1180459,26409984,17107,26409984,19686,125.3,2026-04-08T06:26:37,0.028926102246156937,0.9640119559467818,0.004273162320800789,0.9677325071608114,0.00850875301667546,0.9107854560606802,16555.0,3857625.0,22535252.0,552.0,0.042903984796666225,0.9708163181588458,0.004983485337177059,0.9791222188357208,0.009916498197666806,0.9166460555598107,19275.0,3848500.0,22541798.0,411.0,0.9869958758354187,f1,0.041115339867089984,0.12187993219150056,0.0614881005042909,0.5600187705777462,2085.0,48626.0,26344251.0,15022.0,0.04649453476356121,0.3245453621863253,0.08133672819859962,0.6597902347032036,6389.0,131025.0,26259273.0,13297.0
