run_id,model,strategy,target_prevalence,feature,importance
random_forest__adasyn__p005__20260407_122508,random_forest,adasyn,0.005,receiver_entity_type,0.13442684607201705
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,amount_paid,0.02363821598792171
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,amount_received,0.023910900951851975
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,payment_format,0.11635706817183845
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,payment_currency,0.009880615317250603
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,hour,0.018639234129265214
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,day_of_week,0.03695788729364841
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,same_bank_flag,0.00130632767539438
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,self_transfer_flag,0.0010566920176548606
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,currency_mismatch,0.0003991644429839049
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,amount_ratio,8.284648170985629e-05
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,fan_in_score,0.02117703116634849
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,fan_out_score,0.014943111793318446
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_tx_count_1d,0.03538991791167314
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_tx_count_7d,0.021712539896322557
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_tx_count_30d,0.029477218228192863
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_avg_amount_7d,0.0192546262989403
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_avg_amount_30d,0.027242417626749272
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_unique_counterparties_7d,0.020987279395257567
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_unique_counterparties_30d,0.024456382777188722
random_forest__adasyn__p010__20260407_120621,random_forest,adasyn,0.01,sender_cross_bank_ratio_30d,0.0210119842392731
